dataset	analysis_context	signature	display_name	order_index	gene	definition_type
TCGA-PAAD	Bulk RNA context	Treg	Treg	6	TIGIT	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	candidate_ecm	Frozen six-gene candidate ECM program	1	POSTN	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	candidate_ecm	Frozen six-gene candidate ECM program	2	MXRA5	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	candidate_ecm	Frozen six-gene candidate ECM program	3	PXDN	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	candidate_ecm	Frozen six-gene candidate ECM program	4	MFAP4	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	candidate_ecm	Frozen six-gene candidate ECM program	5	LTBP2	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	candidate_ecm	Frozen six-gene candidate ECM program	6	TNC	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	checkpoint	Immune checkpoint	1	PDCD1	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	checkpoint	Immune checkpoint	2	CD274	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	checkpoint	Immune checkpoint	3	CTLA4	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	checkpoint	Immune checkpoint	4	LAG3	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	checkpoint	Immune checkpoint	5	HAVCR2	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	checkpoint	Immune checkpoint	6	TIGIT	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	cytotoxicity	Cytotoxicity	1	GZMA	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	cytotoxicity	Cytotoxicity	2	GZMB	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	cytotoxicity	Cytotoxicity	3	PRF1	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	cytotoxicity	Cytotoxicity	4	NKG7	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	cytotoxicity	Cytotoxicity	5	GNLY	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	endothelial	Endothelial	1	PECAM1	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	endothelial	Endothelial	2	VWF	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	endothelial	Endothelial	3	KDR	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	endothelial	Endothelial	4	CDH5	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	endothelial	Endothelial	5	ICAM1	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	endothelial	Endothelial	6	VCAM1	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	endothelial	Endothelial	7	SELE	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	iCAF	Inflammatory CAF	1	IL6	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	iCAF	Inflammatory CAF	2	CXCL12	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	iCAF	Inflammatory CAF	3	CFD	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	iCAF	Inflammatory CAF	4	HAS1	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	iCAF	Inflammatory CAF	5	CXCL14	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	iCAF	Inflammatory CAF	6	PDGFRA	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	myCAF	Conventional myCAF	1	ACTA2	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	myCAF	Conventional myCAF	2	TAGLN	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	myCAF	Conventional myCAF	3	MYL9	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	myCAF	Conventional myCAF	4	COL1A1	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	myCAF	Conventional myCAF	5	COL1A2	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	myCAF	Conventional myCAF	6	POSTN	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	myCAF_no_POSTN	POSTN-removed myCAF	1	ACTA2	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	myCAF_no_POSTN	POSTN-removed myCAF	2	TAGLN	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	myCAF_no_POSTN	POSTN-removed myCAF	3	MYL9	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	myCAF_no_POSTN	POSTN-removed myCAF	4	COL1A1	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	myCAF_no_POSTN	POSTN-removed myCAF	5	COL1A2	Reconstructed from listed genes
